aback,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-abuna-(1-E1.0-M1-S1)-aback!,4
abase,raise!-(8-E1.0-M1-S8)-butch-(1-E1.0-M1-S1)-abase!,3
abate,raise!-(41-E4.7-M7-S7)-album-(4-E1.0-M1-S4)-aband-(1-E1.0-M1-S1)-abate!,4
abbey,raise!-(69-E3.6-M5-S10)-metal!-(4-E1.0-M1-S4)-abaca-(1-E1.0-M1-S1)-abbey!,4
abbot,raise!-(92-E4.2-M7-S8)-cloak!-(5-E1.0-M1-S5)-abaft-(1-E1.0-M1-S1)-abbot!,4
abhor,raise!-(78-E4.7-M9-S13)-tronc-(9-E1.0-M1-S9)-myrrh-(1-E1.0-M1-S1)-abhor!,4
abide,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-abide!,3
abled,raise!-(69-E3.6-M5-S10)-metal!-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-abled!,4
abode,raise!-(41-E4.7-M7-S7)-album-(4-E1.0-M1-S4)-aband-(1-E1.0-M1-S1)-abode!,4
abort,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-abort!,3
about,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.0-M1-S6)-agood-(1-E1.0-M1-S1)-about!,4
above,raise!-(41-E4.7-M7-S7)-album-(4-E1.0-M1-S4)-aband-(1-E1.0-M1-S1)-above!,4
abuse,raise!-(8-E1.0-M1-S8)-butch-(1-E1.0-M1-S1)-abuse!,3
abyss,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-abyss!,3
acorn,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-acorn!,3
acrid,raise!-(18-E2.1-M3-S7)-aland-(1-E1.0-M1-S1)-acrid!,3
actor,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-actor!,3
acute,raise!-(41-E4.7-M7-S7)-album-(1-E1.0-M1-S1)-acute!,3
adage,raise!-(41-E4.7-M7-S7)-album-(7-E1.0-M1-S7)-adapt-(1-E1.0-M1-S1)-adage!,4
adapt,raise!-(92-E4.2-M7-S8)-cloak!-(5-E1.0-M1-S5)-aargh-(1-E1.0-M1-S1)-adapt!,4
adept,raise!-(69-E3.6-M5-S10)-metal!-(5-E1.0-M1-S5)-aband-(1-E1.0-M1-S1)-adept!,4
admin,raise!-(34-E2.0-M3-S9)-plant-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-admin!,4
admit,raise!-(34-E2.0-M3-S9)-plant-(2-E1.0-M1-S2)-abamp-(1-E1.0-M1-S1)-admit!,4
adobe,raise!-(41-E4.7-M7-S7)-album-(4-E1.0-M1-S4)-aband-(1-E1.0-M1-S1)-adobe!,4
adopt,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.0-M1-S6)-agood-(1-E1.0-M1-S1)-adopt!,4
adore,raise!-(26-E3.8-M6-S4)-crags-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-adore!,4
adorn,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-adorn!,3
adult,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.0-M1-S7)-fumet-(1-E1.0-M1-S1)-adult!,4
affix,raise!-(34-E2.0-M3-S9)-plant-(3-E1.0-M1-S3)-aahed-(1-E1.0-M1-S1)-affix!,4
afire,raise!-(1-E1.0-M1-S1)-afire!,2
afoot,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.0-M1-S6)-agood-(1-E1.0-M1-S1)-afoot!,4
afoul,raise!-(92-E4.2-M7-S8)-cloak!-(2-E1.0-M1-S2)-aarti-(1-E1.0-M1-S1)-afoul!,4
after,raise!-(34-E3.2-M5-S4)-bract-(4-E1.0-M1-S4)-affix-(1-E1.0-M1-S1)-after!,4
again,raise!-(34-E2.0-M3-S9)-plant-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-again!,4
agape,raise!-(41-E4.7-M7-S7)-album-(7-E1.0-M1-S7)-adapt-(1-E1.0-M1-S1)-agape!,4
agate,raise!-(41-E4.7-M7-S7)-album-(7-E1.0-M1-S7)-adapt-(1-E1.0-M1-S1)-agate!,4
agent,raise!-(69-E3.6-M5-S10)-metal!-(5-E1.0-M1-S5)-aband-(1-E1.0-M1-S1)-agent!,4
agile,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-agile!,3
aging,raise!-(12-E1.7-M2-S4)-aband-(2-E1.0-M1-S2)-abamp-(1-E1.0-M1-S1)-aging!,4
aglow,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.0-M1-S3)-aahed-(1-E1.0-M1-S1)-aglow!,4
agony,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.0-M1-S6)-agood-(1-E1.0-M1-S1)-agony!,4
agora,raise!-(78-E4.7-M9-S13)-tronc-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-agora!,4
agree,raise!-(26-E3.8-M6-S4)-crags-(1-E1.0-M1-S1)-agree!,3
ahead,raise!-(69-E3.6-M5-S10)-metal!-(4-E1.0-M1-S4)-aahed-(1-E1.0-M1-S1)-ahead!,4
aider,raise!-(1-E1.0-M1-S1)-aider!,2
aisle,raise!-(1-E1.0-M1-S1)-aisle!,2
alarm,raise!-(78-E4.7-M9-S13)-tronc-(9-E1.0-M1-S9)-afald-(1-E1.0-M1-S1)-alarm!,4
album,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.0-M1-S7)-abamp-(1-E1.0-M1-S1)-album!,4
alert,raise!-(34-E3.2-M5-S4)-bract-(2-E1.0-M1-S2)-aalii-(1-E1.0-M1-S1)-alert!,4
algae,raise!-(41-E4.7-M7-S7)-album-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-algae!,4
alibi,raise!-(12-E1.7-M2-S4)-aband-(1-E1.0-M1-S1)-alibi!,3
alien,raise!-(1-E1.0-M1-S1)-alien!,2
align,raise!-(12-E1.7-M2-S4)-aband-(2-E1.0-M1-S2)-aalii-(1-E1.0-M1-S1)-align!,4
alike,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-alike!,3
alive,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-alive!,3
allay,raise!-(92-E4.2-M7-S8)-cloak!-(1-E1.0-M1-S1)-allay!,3
alley,raise!-(69-E3.6-M5-S10)-metal!-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-alley!,4
allot,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.0-M1-S3)-adyta-(1-E1.0-M1-S1)-allot!,4
allow,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.0-M1-S3)-adyta-(1-E1.0-M1-S1)-allow!,4
alloy,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.0-M1-S3)-adyta-(1-E1.0-M1-S1)-alloy!,4
aloft,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-acton-(1-E1.0-M1-S1)-aloft!,4
alone,raise!-(41-E4.7-M7-S7)-album-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-alone!,4
along,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-acton-(1-E1.0-M1-S1)-along!,4
aloof,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-acton-(1-E1.0-M1-S1)-aloof!,4
aloud,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-acton-(1-E1.0-M1-S1)-aloud!,4
alpha,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.0-M1-S7)-abamp-(1-E1.0-M1-S1)-alpha!,4
altar,raise!-(78-E4.7-M9-S13)-tronc-(4-E1.0-M1-S4)-aalii-(1-E1.0-M1-S1)-altar!,4
alter,raise!-(34-E3.2-M5-S4)-bract-(4-E1.0-M1-S4)-affix-(1-E1.0-M1-S1)-alter!,4
amass,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-amass!,3
amaze,raise!-(41-E4.7-M7-S7)-album-(1-E1.0-M1-S1)-amaze!,3
amber,raise!-(34-E3.2-M5-S4)-bract-(3-E1.0-M1-S3)-aahed-(1-E1.0-M1-S1)-amber!,4
amble,raise!-(41-E4.7-M7-S7)-album-(1-E1.0-M1-S1)-amble!,3
amend,raise!-(69-E3.6-M5-S10)-metal!-(3-E1.0-M1-S3)-aargh-(1-E1.0-M1-S1)-amend!,4
amiss,raise!-(1-E1.0-M1-S1)-amiss!,2
amity,raise!-(12-E1.7-M2-S4)-aband-(2-E1.0-M1-S2)-aarti-(1-E1.0-M1-S1)-amity!,4
among,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.0-M1-S6)-agood-(1-E1.0-M1-S1)-among!,4
ample,raise!-(41-E4.7-M7-S7)-album-(1-E1.0-M1-S1)-ample!,3
amply,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.0-M1-S7)-fumet-(1-E1.0-M1-S1)-amply!,4
amuse,raise!-(8-E1.0-M1-S8)-butch-(1-E1.0-M1-S1)-amuse!,3
angel,raise!-(69-E3.6-M5-S10)-metal!-(1-E1.0-M1-S1)-angel!,3
anger,raise!-(34-E3.2-M5-S4)-bract-(3-E1.0-M1-S3)-aalii-(1-E1.0-M1-S1)-anger!,4
angle,raise!-(41-E4.7-M7-S7)-album-(3-E1.0-M1-S3)-acing-(1-E1.0-M1-S1)-angle!,4
angry,raise!-(78-E4.7-M9-S13)-tronc-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-angry!,4
angst,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-angst!,3
anime,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-anime!,3
ankle,raise!-(41-E4.7-M7-S7)-album-(3-E1.0-M1-S3)-acing-(1-E1.0-M1-S1)-ankle!,4
annex,raise!-(69-E3.6-M5-S10)-metal!-(4-E1.0-M1-S4)-abaca-(1-E1.0-M1-S1)-annex!,4
annoy,raise!-(92-E4.2-M7-S8)-cloak!-(5-E1.0-M1-S5)-abaft-(1-E1.0-M1-S1)-annoy!,4
annul,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.0-M1-S7)-fumet-(1-E1.0-M1-S1)-annul!,4
anode,raise!-(41-E4.7-M7-S7)-album-(7-E1.0-M1-S7)-adapt-(1-E1.0-M1-S1)-anode!,4
antic,raise!-(34-E2.0-M3-S9)-plant-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-antic!,4
anvil,raise!-(34-E2.0-M3-S9)-plant-(3-E1.0-M1-S3)-aalii-(1-E1.0-M1-S1)-anvil!,4
aorta,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-aorta!,3
